name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Blake Griffin,Oklahoma,68,63,30.90,7.10,11.50,0.618,7.10,11.40,0.622,0.00,0.10,0.300,4.50,7.70,0.589,3.60,8.30,11.80,2.10,1.10,1.00,2.80,2.50,18.80,7.37,forward,"""6-9""",right,22.00,31.90
Hasheem Thabeet,Connecticut,100,99,29.30,3.60,5.90,0.611,3.60,5.90,0.611,0.00,0.00,0.000,3.10,5.00,0.625,3.00,5.40,8.50,0.40,0.40,4.20,1.80,2.60,10.30,7.14,center,"""7-3""",right,10.30,-0.40
James Harden,Arizona State,69,68,35.00,6.00,11.90,0.506,4.60,8.00,0.570,1.50,3.90,0.376,5.40,7.20,0.755,1.30,4.10,5.40,3.70,1.90,0.40,3.00,2.50,19.00,7.05,guard,"""6-5""",left,24.80,64.60
Tyreke Evans,Memphis,37,35,29.00,6.20,13.60,0.455,5.30,10.30,0.514,0.90,3.40,0.274,3.70,5.20,0.711,1.30,4.10,5.40,3.90,2.10,0.80,3.60,2.40,17.10,4.63,guard,"""6-6""",right,17.10,13.10
Jonny Flynn,Syracuse,73,73,36.50,5.60,12.20,0.460,4.20,8.10,0.525,1.40,4.20,0.333,4.00,5.10,0.782,0.60,2.10,2.70,6.00,1.50,0.20,3.10,1.50,16.60,8.72,guard,"""6-0""",right,11.30,-1.90
Stephen Curry,Davidson,104,103,32.60,8.40,17.90,0.467,4.40,8.30,0.530,4.00,9.70,0.412,4.60,5.30,0.876,0.80,3.80,4.50,3.70,2.10,0.30,3.00,2.40,25.30,-1.31,guard,"""6-3""",right,23.80,50.70
Jordan Hill,Arizona,97,79,27.00,5.10,8.80,0.578,5.10,8.80,0.578,0.00,0.00,0.000,2.30,3.60,0.636,2.80,5.10,7.90,0.80,0.50,1.40,2.00,2.70,12.50,9.93,center,"""6-10""",right,16.30,0.00
DeMar DeRozan,Southern California,35,35,33.40,5.50,10.50,0.523,5.30,9.50,0.562,0.20,1.00,0.167,2.70,4.20,0.646,2.40,3.30,5.70,1.50,0.90,0.40,2.10,2.10,13.90,9.15,guard,"""6-6""",right,18.20,16.90
Terrence Williams,Louisville,140,127,32.20,4.10,10.30,0.400,2.70,6.00,0.457,1.40,4.40,0.320,1.50,2.60,0.589,1.50,5.50,6.90,3.90,1.50,0.60,2.40,1.90,11.20,7.65,forward,"""6-6""",right,11.50,-0.60
Gerald Henderson,Duke,103,79,25.30,4.40,9.70,0.458,3.80,7.60,0.493,0.70,2.00,0.329,2.70,3.90,0.706,1.20,3.00,4.20,1.80,1.00,0.70,1.90,1.70,12.30,9.61,guard,"""6-5'",right,13.40,0.60
Tyler Hansbrough,North Carolina,142,141,30.90,6.60,12.30,0.536,6.50,12.10,0.541,0.10,0.30,0.316,6.90,8.70,0.791,3.40,5.20,8.60,1.10,1.30,0.50,2.10,2.50,20.20,8.39,forward,"""6-9""",right,14.80,0.00
Earl Clark,Louisville,104,63,26.70,4.00,8.60,0.467,3.50,6.80,0.512,0.50,1.80,0.298,2.00,3.20,0.640,2.10,4.90,7.00,1.70,0.90,1.20,2.10,1.70,10.60,8.03,forward,"""6-10""",right,10.20,-0.80
Austin Daye,Gonzaga,67,34,22.50,4.10,8.60,0.477,3.20,6.40,0.495,0.90,2.20,0.422,2.50,3.10,0.790,0.90,4.90,5.80,1.00,0.70,1.90,1.90,2.60,11.60,2.85,forward,"""6-11""",right,11.60,0.00
James Johnson,Wake Forest,61,59,29.90,5.80,11.20,0.515,4.90,8.40,0.587,0.80,2.80,0.296,2.50,3.60,0.693,2.80,5.50,8.30,1.60,1.40,1.40,2.50,3.00,14.80,8.09,forward,"""6-7""",right,14.60,9.30
Jrue Holiday,California-Los Angeles,35,35,27.10,3.20,7.10,0.450,2.40,4.60,0.528,0.80,2.50,0.307,1.30,1.80,0.726,1.30,2.50,3.80,3.70,1.60,0.50,2.10,2.10,8.50,7.19,guard,"""6-3""",right,16.90,19.10
Ty Lawson,North Carolina,105,95,27.00,4.40,8.50,0.517,3.30,5.90,0.568,1.10,2.60,0.403,3.20,4.10,0.780,0.60,2.30,2.90,5.80,1.80,0.10,2.10,2.00,13.10,8.59,guard,"""5-11""",right,17.20,13.60
Jeff Teague,Wake Forest,61,52,30.90,5.20,11.20,0.462,3.90,8.20,0.477,1.30,3.00,0.421,4.80,5.90,0.812,0.50,2.50,3.00,3.00,1.90,0.60,3.00,2.30,16.40,8.09,guard,"""6-3""",right,17.00,14.40
Eric Maynor,Virginia Commonwealth,130,104,30.70,5.00,11.20,0.449,3.90,8.30,0.477,1.10,3.00,0.370,3.90,4.90,0.791,0.50,2.90,3.40,5.20,1.30,0.20,2.40,2.00,15.00,-0.76,guard,"""6-3""",right,10.60,-0.80
Darren Collison,California-Los Angeles,142,104,29.20,4.00,8.30,0.475,2.80,5.70,0.494,1.20,2.70,0.435,2.50,2.90,0.851,0.40,1.80,2.30,4.10,1.60,0.10,2.40,1.40,11.50,8.25,guard,"""6-0""",right,16.20,13.50
Byron Mullens,Ohio State,33,2,20.30,3.60,5.70,0.638,3.60,5.70,0.642,0.00,0.00,0.000,1.60,2.80,0.559,1.70,3.00,4.70,0.30,0.50,1.10,1.50,2.10,8.80,8.23,center,"""7-0""",right,12.20,-1.80
Taj Gibson,Southern California,105,104,32.70,4.80,8.20,0.580,4.80,8.20,0.580,0.00,0.00,0.000,2.90,4.60,0.629,2.90,5.60,8.50,1.40,0.70,2.40,2.50,3.10,12.40,8.54,center,"""6-9""",right,15.50,6.40
DeMarre Carroll,Missouri,134,89,24.50,4.50,8.40,0.535,4.30,7.60,0.559,0.20,0.70,0.281,2.10,3.50,0.603,2.40,3.60,6.00,1.60,1.10,0.40,1.30,2.30,11.20,7.11,forward,"""6-6""",right,13.30,6.70
Wayne Ellington,North Carolina,115,112,28.50,5.40,11.60,0.463,3.40,6.60,0.513,2.00,5.00,0.397,2.00,2.50,0.809,1.10,3.00,4.10,2.20,0.90,0.10,1.50,1.50,14.70,8.59,guard,"""6-4""",right,11.10,1.60
Toney Douglas,Florida State,130,126,34.20,5.70,12.90,0.442,3.80,8.00,0.483,1.80,4.90,0.376,3.60,4.40,0.802,0.80,3.00,3.80,2.60,1.80,0.30,2.60,2.30,16.80,7.61,guard,"""6-2""",right,13.20,2.20
Jeff Ayres,Arizona State,126,120,30.20,4.80,8.40,0.580,4.80,8.30,0.585,0.00,0.10,0.000,2.90,3.80,0.764,2.70,4.80,7.50,0.80,0.50,1.00,1.80,3.10,12.60,7.31,center,"""6-10""",right,12.40,-0.20
Jermaine Taylor,Central Florida,122,60,25.80,5.80,12.50,0.466,3.80,7.00,0.536,2.10,5.50,0.376,2.50,3.30,0.764,1.50,2.30,3.90,1.40,0.90,0.40,2.20,1.70,16.20,0.56,guard,"""6-4""",right,11.90,-0.30
Dante Cunningham,Villanova,139,104,27.20,3.70,7.10,0.524,3.70,7.00,0.525,0.00,0.00,0.000,2.20,3.20,0.693,2.50,3.40,5.90,1.00,1.20,0.80,1.80,2.80,9.60,8.70,forward,"""6-8""",right,11.10,1.10
DaJuan Summers,Georgetown,101,98,27.60,3.60,8.30,0.439,2.20,4.20,0.522,1.40,4.10,0.353,2.50,3.40,0.727,1.30,3.10,4.40,1.30,1.00,0.60,2.20,2.40,11.20,8.56,forward,"""6-8""",right,7.10,-0.80
Sam Young,Pittsburgh,143,78,25.50,5.00,10.10,0.498,4.20,7.80,0.539,0.80,2.30,0.356,2.40,3.40,0.692,1.80,3.20,5.00,1.00,0.80,0.80,1.90,1.70,13.20,8.00,forward,"""6-6""",right,11.50,-0.10
DeJuan Blair,Pittsburgh,72,71,26.60,5.50,9.60,0.568,5.50,9.60,0.568,0.00,0.00,0.000,2.70,4.30,0.614,4.70,6.00,10.70,1.10,1.60,1.00,1.60,2.80,13.60,8.23,center,"""6-7""",right,16.50,1.40
Jon Brockman,Washington,131,129,28.70,5.50,10.30,0.534,5.50,10.30,0.534,0.00,0.00,0.000,2.80,4.60,0.612,3.70,6.10,9.80,1.00,0.80,0.10,2.10,2.80,13.80,7.16,center,"""6-7""",right,10.30,-0.80
Derrick Brown,Xavier,106,72,25.00,3.70,6.50,0.573,3.20,5.30,0.610,0.50,1.20,0.415,2.40,3.30,0.718,1.90,3.70,5.60,1.50,0.70,0.80,1.60,2.50,10.30,4.50,forward,"""6-7""",left,13.80,0.40
Jodie Meeks,Kentucky,81,42,27.70,4.80,10.90,0.436,2.60,5.20,0.491,2.20,5.70,0.386,3.70,4.10,0.890,0.70,2.40,3.00,1.60,1.10,0.10,1.80,1.60,15.40,7.77,guard,"""6-4""",right,12.80,4.20
